,address_line_1,address_line_2,city,state,zip,phone,mon_hrs,tue_hrs,wed_hrs,thu_hrs,fri_hrs,sat_hrs,sun_hrs,drive-thru,mobile-order,dunkin-card,kcup,curbside-pickup,has-baskin-robbins
25,5413 US 280,Ste 100,Hoover,AL,35242,N/A,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,6:00 AM - 12:00 AM,6:00 AM - 8:00 PM,False,False,False,False,False,False
26,10055 Memorial Pkwy SE,Suite B,Huntsville,AL,35803,(256) 960-9263,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,True,False,True,True,False,False
27,1221B Memorial Pkwy NW,N/A,Huntsville,AL,35801,(256) 960-9197,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,True,True,True,True,False,False
28,2785 Carl T Jones Dr SE,Suite A,Huntsville,AL,35802,(256) 960-9239,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,True,True,True,True,False,False
29,301 Sparkman Dr NW,N/A,Huntsville,AL,35805,(256) 824-4587,7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,7:00 AM - 5:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,False,False,False,False,False,False
30,2111 Moody Parkway,N/A,Leeds,AL,35094,(205) 571-9994,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,False,False,False,False,False,False
31,103 Brookridge Dr,Suite B,Madison,AL,35758,(256) 960-9231,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,True,False,True,True,False,False
32,11212 County Line Rd,Suite A,Madison,AL,35758,(256) 503-5124,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,True,True,True,False,False,False
33,1753 Springhill Ave,N/A,Mobile,AL,36607,(251) 442-5581,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,True,True,True,True,False,False
34,505 Schillinger Rd S,#A-110,Mobile,AL,36695,(251) 442-4845,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,True,True,True,True,False,False
35,5701 Old Shell Rd,N/A,Mobile,AL,36608,(251) 366-4823,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,True,True,True,True,False,False
36,790 Ann St,N/A,Montgomery,AL,36107,(334) 356-2003,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,False,False,False,False,False,False
37,8025 Vaughn Rd,N/A,Montgomery,AL,36116,(334) 260-7700,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,True,True,True,True,False,False
38,1609 Woodward Ave,N/A,Muscle Shoals,AL,35661,(256) 960-9414,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,True,True,True,True,False,False
39,2103 Pepperell Parkway,N/A,Opelika,AL,36801,(334) 610-0642,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,6:00 AM - 8:00 PM,True,True,True,True,False,False
40,10 Oxford Exchange Blvd,N/A,Oxford,AL,36203,(256) 831-4696,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,True,True,True,True,False,False
41,700 S Quintard Ave,N/A,Oxford,AL,36203,(256) 831-0702,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,False,False,False,False,False,False
42,480 Cahaba Valley Rd,Suite A,Pelham,AL,35124,(205) 988-3664,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,True,True,True,True,False,False
43,1413 Highway 280 BYP,Suite B,Phenix City,AL,36867,(334) 384-9645,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,True,True,True,True,False,False
44,2020 Cobbs Ford Rd,Suite 1,Prattville,AL,36066,(334) 380-3889,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,True,True,True,True,False,False
45,100 Troy Plaza Loop,N/A,Troy,AL,36081,(334) 808-1353,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,False,False,False,False,False,False
46,160 McCorvey Dr,N/A,Tuscaloosa,AL,35487,(205) 348-4041,Closed,Closed,Closed,Closed,Closed,Closed,Closed,False,False,False,False,False,False
47,2520 Stillman Blvd,N/A,Tuscaloosa,AL,35401,(205) 349-3400,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,6:00 AM - 7:00 PM,6:00 AM - 7:00 PM,True,True,True,True,False,False
48,3615 McFarland Blvd E,Suite 101,Tuscaloosa,AL,35405,(205) 633-2822,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,True,True,True,True,False,False
49,2804 20th Ave,N/A,Valley,AL,36854,(334) 528-0201,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,6:00 AM - 8:00 PM,True,True,True,True,False,False
50,1284 Montgomery Hwy,N/A,Vestavia,AL,35216,(205) 582-2095,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,True,True,True,True,False,False
51,2419 Acton Rd,N/A,Vestavia Hills,AL,35243,(205) 490-1241,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,True,True,True,True,False,False
52,313 Cane Creek Rd,11A,Warrior,AL,35180,(205) 590-0330,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,True,True,True,True,False,False
53,5267 US Highway 231,N/A,Wetumpka,AL,36092,(334) 478-4148,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,6:30 AM - 9:00 PM,True,True,True,True,False,False
54,1700 Umiak Dr,N/A,False Pass,AK,99583,N/A,3:00 AM - 7:00 PM,3:00 AM - 7:00 PM,3:00 AM - 7:00 PM,3:00 AM - 7:00 PM,3:00 AM - 7:00 PM,3:00 AM - 7:00 PM,3:00 AM - 7:00 PM,False,False,False,False,False,False
55,1800 Umiak Dr,N/A,False Pass,AK,99583,N/A,12:00 AM - 12:00 AM,3:00 AM - 7:00 PM,12:00 AM - 12:00 AM,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,False,False,False,False,False,False
56,12685 W Indian School Rd,#101,Avondale,AZ,85392,(602) 635-1619,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,False,False,False,False,False,False
57,675 S Watson Rd,Ste 107,Buckeye,AZ,85326,(623) 386-1102,4:00 AM - 8:00 PM,4:00 AM - 8:00 PM,4:00 AM - 8:00 PM,4:00 AM - 8:00 PM,4:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,True,True,True,True,False,False
58,1306 E Florence Blvd,N/A,Casa Grande,AZ,85122,(520) 836-1369,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,True,True,True,True,False,False
59,1970 W Elliot Rd,N/A,Chandler,AZ,85224,(480) 897-9728,4:00 AM - 3:00 PM,4:00 AM - 3:00 PM,4:00 AM - 3:00 PM,4:00 AM - 3:00 PM,4:00 AM - 3:00 PM,5:00 AM - 3:00 PM,5:00 AM - 3:00 PM,True,True,True,True,False,False
60,2001 N Arizona Ave,Ste 101,Chandler,AZ,85225,(480) 726-3772,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,True,True,True,True,False,False
61,2021 S Alma School Rd,N/A,Chandler,AZ,85248,(480) 821-9761,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,False,True,True,True,False,False
62,2051 W. Chandler Blvd,Suite 10,Chandler,AZ,85224,(480) 857-8990,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 4:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,True,True,True,True,False,False
63,4225 S Gilbert Rd,N/A,Chandler,AZ,85249,(480) 923-7262,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 5:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,True,True,True,True,False,False
64,5800 W Chandler Blvd,N/A,Chandler,AZ,85226,(480) 940-2458,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,5:00 AM - 2:00 PM,True,False,True,True,False,True
65,980 E Pecos Rd,N/A,Chandler,AZ,85225,(480) 770-3935,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,4:00 AM - 3:00 PM,5:00 AM - 5:00 PM,5:00 AM - 5:00 PM,True,True,True,True,False,False
66,990 E Riggs Rd,N/A,Chandler,AZ,85249,(480) 895-2224,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,True,True,True,True,False,False
67,1006 S Main St,N/A,Cottonwood,AZ,86326,(928) 399-7020,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,True,True,True,False,False,True
68,199 W 5th St,N/A,Douglas,AZ,85607,(520) 727-7075,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,False,True,True,True,False,False
69,16189 S Sunshine Blvd,N/A,Eloy,AZ,85131,(520) 466-9204,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,False,False,False,False,False,False
70,1020 S Milton Rd,Ste 101,Flagstaff,AZ,86001,(928) 266-0541,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 5:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,False,True,True,True,False,False
71,4419 N US Highway 89,N/A,Flagstaff,AZ,86004,N/A,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,False,False,False,False,False,False
72,1633 S Higley Rd,Suite 103,Gilbert,AZ,85296,(480) 783-2310,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,True,True,True,True,False,False
73,3140 E Chandler Heights Rd,N/A,Gilbert,AZ,85298,(480) 783-2317,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,True,True,True,True,False,False
74,857 E. Warner Rd,Suite 105,Gilbert,AZ,85296,(480) 503-9279,4:00 AM - 7:00 PM,4:00 AM - 4:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,True,True,True,True,False,False
75,13887 N 59th Ave,N/A,Glendale,AZ,85306,(602) 978-1155,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,True,True,True,True,False,False
76,20229 N. 67th Ave,Suite C5,Glendale,AZ,85308,(623) 376-9700,4:00 AM - 5:00 PM,4:00 AM - 5:00 PM,4:00 AM - 5:00 PM,4:00 AM - 5:00 PM,4:00 AM - 5:00 PM,4:00 AM - 5:00 PM,5:00 AM - 7:00 PM,False,False,True,True,False,False
77,5143 W Olive Ave,N/A,Glendale,AZ,85302,(623) 777-3640,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,True,True,True,True,False,False
78,5795 West Bell Road,Suite 4,Glendale,AZ,85308,N/A,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,False,False,False,False,False,False
79,7507 W Rose Garden Ln,Suite 101,Glendale,AZ,85308,(480) 750-4309,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 2:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,True,True,True,True,False,False
80,211 N Estrella Pkwy,Ste 101,Goodyear,AZ,85338,(623) 455-5004,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,True,True,True,True,False,True
81,3535 Stockton Hill Rd,Suite A,Kingman,AZ,86409,(928) 757-2775,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,True,True,True,True,False,False
82,970 S Blake Ranch Rd,N/A,Kingman,AZ,86401,(928) 681-5246,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,False,False,True,True,False,False
83,14750 Highway 95,In Pilot Travel Center,Lake Havasu City,AZ,86404,(928) 764-2410,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,False,False,False,False,False,False
84,85 Lake Havasu Ave N,N/A,Lake Havasu City,AZ,86403,(928) 846-8466,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,4:30 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,True,True,True,True,False,True
85,5225 W Baseline Rd,Suite 101,Laveen,AZ,85339,(602) 237-0282,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,True,True,True,True,False,False
86,8002 N Cortaro Rd,N/A,Marana,AZ,85743,(520) 308-4385,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,True,True,True,True,False,False
87,15406 N Maricopa Rd,N/A,Maricopa,AZ,85139,(480) 802-5000,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 7:00 PM,False,False,False,False,False,False
88,20595 S John Wayne Parkway,N/A,Maricopa,AZ,85139,(520) 251-9241,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,True,True,True,True,False,False
89,1116 S Crismon Rd,N/A,Mesa,AZ,85208,(480) 354-1423,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,4:00 AM - 7:00 PM,5:00 AM - 7:00 PM,5:00 AM - 7:00 PM,True,True,True,True,False,False
